User ID='1'    
 Time='23.07.2019 14:59:41'User ID='1'     Time='23.07.2019 15:00:34' 
User ID='1'     Time='23.07.2019 15:16:03' 
User ID='1'     Time='23.07.2019 15:27:48' 
User ID='1'     Time='23.07.2019 15:29:11' 
User ID='1'     Time='23.07.2019 15:31:25' 
User ID='1'     Time='23.07.2019 15:32:28' 
User ID='1'     Time='23.07.2019 15:35:42' 
User ID='1'     Time='23.07.2019 15:46:15' 
User ID='1'     Time='23.07.2019 16:23:47' 
User ID='1'     Time='23.07.2019 16:24:41' 
User ID='1'     Time='23.07.2019 16:29:50' 
User ID='1'     Time='23.07.2019 16:37:01' 
User ID='1'     Time='26.07.2019 08:14:18' 
User ID='1'     Time='26.07.2019 08:14:29' 
User ID='1'     Time='26.07.2019 08:14:43' 
User ID='1'     Time='26.07.2019 08:14:59' 
User ID='1'     Time='26.07.2019 08:15:42' 
User ID='1'     Time='26.07.2019 08:17:26' 
User ID='1'     Time='26.07.2019 08:40:16' 
User ID='1'     Time='26.07.2019 08:40:23' 
User ID='1'     Time='26.07.2019 08:40:28' 
User ID='1'     Time='26.07.2019 08:43:56' 
User ID='1'     Time='26.07.2019 08:44:37' 
User ID='1'     Time='26.07.2019 08:45:49' 
User ID='1'     Time='26.07.2019 08:47:17' 
User ID='1'     Time='26.07.2019 08:48:00' 
User ID='1'     Time='26.07.2019 08:49:55' 
User ID='1'     Time='26.07.2019 09:00:15' 
User ID='1'     Time='26.07.2019 09:13:58' 
User ID='1'     Time='26.07.2019 09:19:38' 
User ID='1'     Time='26.07.2019 09:24:47' 
User ID='1'     Time='26.07.2019 09:32:00' 
User ID='1'     Time='26.07.2019 09:33:36' 
User ID='1'     Time='26.07.2019 09:35:43' 
User ID='1'     Time='26.07.2019 09:36:28' 
User ID='1'     Time='26.07.2019 09:37:06' 
User ID='1'     Time='26.07.2019 09:38:28' 
User ID='1'     Time='26.07.2019 09:39:05' 
User ID='1'     Time='26.07.2019 09:41:50' 
User ID='1'     Time='26.07.2019 09:42:14' 
User ID='1'     Time='26.07.2019 09:44:19' 
User ID='1'     Time='26.07.2019 10:06:46' 
User ID='1'     Time='26.07.2019 10:08:05' 
User ID='1'     Time='26.07.2019 10:08:19' 
User ID='1'     Time='26.07.2019 10:10:22' 
User ID='1'     Time='26.07.2019 10:15:05' 
User ID='1'     Time='26.07.2019 10:24:05' 
User ID='1'     Time='26.07.2019 10:54:04' 
User ID='1'     Time='26.07.2019 10:54:51' 
User ID='1'     Time='26.07.2019 10:55:21' 
User ID='1'     Time='26.07.2019 11:08:44' 
User ID='1'     Time='26.07.2019 11:09:20' 
User ID='1'     Time='26.07.2019 11:09:48' 
User ID='1'     Time='26.07.2019 11:10:10' 
User ID='1'     Time='26.07.2019 11:24:15' 
User ID='1'     Time='26.07.2019 11:24:51' 
User ID='1'     Time='26.07.2019 11:25:42' 
User ID='1'     Time='26.07.2019 11:26:33' 
User ID='1'     Time='26.07.2019 11:27:03' 
User ID='1'     Time='26.07.2019 11:27:43' 
User ID='1'     Time='26.07.2019 11:34:17' 
User ID='1'     Time='26.07.2019 11:34:34' 
User ID='1'     Time='26.07.2019 11:34:57' 
User ID='1'     Time='26.07.2019 13:45:00' 
User ID='1'     Time='26.07.2019 13:48:16' 
User ID='1'     Time='26.07.2019 14:24:39' 
User ID='1'     Time='26.07.2019 14:25:25' 
User ID='1'     Time='26.07.2019 14:32:01' 
User ID='1'     Time='26.07.2019 14:54:30' 
User ID='1'     Time='26.07.2019 14:55:25' 
User ID='1'     Time='26.07.2019 14:56:23' 
User ID='1'     Time='26.07.2019 14:57:49' 
User ID='1'     Time='26.07.2019 15:43:40' 
User ID='1'     Time='26.07.2019 16:00:18' 
User ID='1'     Time='26.07.2019 16:02:37' 
User ID='1'     Time='26.07.2019 16:13:58' 
User ID='1'     Time='26.07.2019 16:15:56' 
User ID='1'     Time='26.07.2019 16:23:42' 
User ID='1'     Time='26.07.2019 16:30:05' 
User ID='1'     Time='26.07.2019 16:31:00' 
User ID='1'     Time='26.07.2019 16:32:18' 
User ID='1'     Time='26.07.2019 16:35:14' 
User ID='1'     Time='26.07.2019 16:37:36' 
User ID='1'     Time='26.07.2019 16:38:38' 
User ID='1'     Time='26.07.2019 16:39:17' 
User ID='1'     Time='26.07.2019 16:41:29' 
User ID='1'     Time='26.07.2019 16:42:06' 
User ID='1'     Time='26.07.2019 16:51:41' 
User ID='1'     Time='26.07.2019 16:51:56' 
User ID='1'     Time='26.07.2019 16:54:40' 
User ID='1'     Time='26.07.2019 16:55:20' 
User ID='1'     Time='26.07.2019 16:55:47' 
User ID='1'     Time='26.07.2019 16:56:02' 
User ID='1'     Time='26.07.2019 16:57:16' 
User ID='1'     Time='26.07.2019 16:57:40' 
User ID='1'     Time='26.07.2019 17:03:59' 
User ID='1'     Time='26.07.2019 17:04:47' 
User ID='1'     Time='26.07.2019 17:05:47' 
User ID='1'     Time='26.07.2019 17:07:29' 
User ID='1'     Time='26.07.2019 17:09:08' 
User ID='1'     Time='26.07.2019 17:09:48' 
User ID='1'     Time='29.07.2019 08:14:08' 
User ID='1'     Time='29.07.2019 11:28:21' 
User ID='1'     Time='29.07.2019 11:40:45' 
User ID='1'     Time='29.07.2019 11:41:38' 
User ID='1'     Time='29.07.2019 13:44:43' 
User ID='1'     Time='29.07.2019 13:45:35' 
User ID='1'     Time='29.07.2019 16:43:38' 
User ID='1'     Time='29.07.2019 16:53:18' 
